State,City,Date,StringencyIndex,city_ibge_code,new_confirmed,new_deaths,confirmed,deaths,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,avg_mobility
para,ananindeua,2020-03-25,80.56,1500800,2,0,6,0,-51.0,-17.0,-59.0,-70.0,-40.0,17.0,-47.4
para,ananindeua,2020-03-26,80.56,1500800,2,0,8,0,-50.0,-14.0,-54.0,-69.0,-39.0,17.0,-45.2
para,ananindeua,2020-03-27,83.33,1500800,0,0,10,0,-51.0,-11.0,-58.0,-71.0,-36.0,18.0,-45.4
para,ananindeua,2020-03-28,83.33,1500800,0,0,13,0,-56.0,-16.0,-57.0,-70.0,-29.0,15.0,-45.6
para,ananindeua,2020-03-29,83.33,1500800,0,0,14,0,-60.0,-18.0,-56.0,-77.0,-20.0,14.0,-46.2
para,ananindeua,2020-03-30,83.33,1500800,1,0,17,0,-49.0,-19.0,-62.0,-71.0,-35.0,16.0,-47.2
para,ananindeua,2020-03-31,83.33,1500800,1,0,23,0,-48.0,-11.0,-60.0,-66.0,-36.0,15.0,-44.2
para,ananindeua,2020-04-01,83.33,1500800,1,0,28,0,-42.0,0.0,-51.0,-60.0,-35.0,15.0,-37.6
para,ananindeua,2020-04-02,83.33,1500800,2,0,35,1,-42.0,-3.0,-52.0,-61.0,-35.0,16.0,-38.6
para,ananindeua,2020-04-03,83.33,1500800,0,0,41,1,-44.0,0.0,-54.0,-69.0,-32.0,17.0,-39.8
para,ananindeua,2020-04-04,83.33,1500800,1,0,57,1,-50.0,-5.0,-55.0,-74.0,-25.0,15.0,-41.8
para,ananindeua,2020-04-05,83.33,1500800,0,0,60,1,-56.0,-8.0,-57.0,-76.0,-21.0,14.0,-43.6
para,ananindeua,2020-04-06,83.33,1500800,4,0,68,1,-41.0,-3.0,-57.0,-76.0,-32.0,14.0,-41.8
para,ananindeua,2020-04-07,83.33,1500800,2,0,101,4,-43.0,-1.0,-58.0,-67.0,-33.0,13.0,-40.4
para,ananindeua,2020-04-08,83.33,1500800,0,0,126,4,-40.0,2.0,-53.0,-75.0,-34.0,14.0,-40.0
para,ananindeua,2020-04-09,83.33,1500800,0,0,137,5,-36.0,11.0,-51.0,-72.0,-36.0,13.0,-36.8
para,ananindeua,2020-04-10,83.33,1500800,5,0,145,6,-69.0,-45.0,-66.0,,-71.0,28.0,-62.75
para,ananindeua,2020-04-11,83.33,1500800,4,0,185,8,-50.0,1.0,-63.0,-85.0,-31.0,16.0,-45.6
para,ananindeua,2020-04-12,83.33,1500800,1,0,200,9,-59.0,-7.0,-62.0,-82.0,-19.0,14.0,-45.8
para,ananindeua,2020-04-13,83.33,1500800,2,0,221,12,-45.0,-8.0,-57.0,-80.0,-34.0,17.0,-44.8
para,ananindeua,2020-04-14,83.33,1500800,5,0,264,12,-51.0,-18.0,-63.0,-76.0,-39.0,18.0,-49.4
para,ananindeua,2020-04-15,83.33,1500800,12,0,330,17,-45.0,-7.0,-49.0,-75.0,-36.0,17.0,-42.4
para,ananindeua,2020-04-16,83.33,1500800,5,0,398,17,-43.0,-10.0,-49.0,-72.0,-37.0,18.0,-42.2
para,ananindeua,2020-04-17,83.33,1500800,17,1,476,22,-53.0,-15.0,-61.0,-82.0,-41.0,22.0,-50.4
para,ananindeua,2020-04-18,83.33,1500800,1,0,523,25,-51.0,-9.0,-54.0,-80.0,-28.0,17.0,-44.4
para,ananindeua,2020-04-19,83.33,1500800,6,0,540,25,-60.0,-17.0,-61.0,,-24.0,17.0,-40.5
para,ananindeua,2020-04-20,83.33,1500800,14,0,582,25,-45.0,-8.0,-59.0,-82.0,-43.0,19.0,-47.4
para,ananindeua,2020-04-21,83.33,1500800,23,0,749,26,-63.0,-36.0,-60.0,,-67.0,26.0,-56.5
para,ananindeua,2020-04-22,83.33,1500800,9,0,822,28,-45.0,-8.0,-56.0,-81.0,-40.0,18.0,-46.0
para,ananindeua,2020-04-23,83.33,1500800,5,0,936,30,-46.0,-12.0,-52.0,-68.0,-41.0,18.0,-43.8
para,ananindeua,2020-04-24,83.33,1500800,39,6,1007,45,-54.0,-17.0,-64.0,-77.0,-42.0,21.0,-50.8
para,ananindeua,2020-04-25,83.33,1500800,8,1,1192,64,-54.0,-11.0,-58.0,-80.0,-31.0,18.0,-46.8
para,ananindeua,2020-04-26,83.33,1500800,44,0,1350,72,-63.0,-15.0,-65.0,-82.0,-26.0,18.0,-50.2
para,ananindeua,2020-04-27,83.33,1500800,21,0,1530,80,-48.0,-10.0,-59.0,-79.0,-42.0,21.0,-47.6
para,ananindeua,2020-04-28,83.33,1500800,3,0,1591,80,-49.0,-6.0,-60.0,-77.0,-44.0,21.0,-47.2
para,ananindeua,2020-04-29,83.33,1500800,20,1,1655,86,-48.0,-6.0,-57.0,-71.0,-45.0,20.0,-45.4
para,ananindeua,2020-04-30,83.33,1500800,46,2,1846,105,-48.0,-4.0,-55.0,-76.0,-46.0,20.0,-45.8
para,ananindeua,2020-05-01,83.33,1500800,78,1,2118,157,-70.0,-47.0,-71.0,-86.0,-70.0,32.0,-68.8
para,ananindeua,2020-05-02,83.33,1500800,19,4,2275,178,-55.0,-11.0,-62.0,-84.0,-36.0,19.0,-49.6
para,ananindeua,2020-05-03,83.33,1500800,7,0,2471,200,-63.0,-20.0,-64.0,-87.0,-27.0,18.0,-52.2
para,ananindeua,2020-05-04,83.33,1500800,21,1,2543,203,-48.0,-17.0,-64.0,-81.0,-43.0,19.0,-50.6
para,ananindeua,2020-05-05,83.33,1500800,55,1,2779,210,-44.0,-4.0,-54.0,-64.0,-44.0,17.0,-42.0
para,ananindeua,2020-05-06,83.33,1500800,80,6,3101,233,-38.0,-4.0,-54.0,-68.0,-42.0,17.0,-41.2
para,ananindeua,2020-05-07,94.44,1500800,43,10,3623,259,-55.0,-23.0,-60.0,-80.0,-48.0,22.0,-53.2
