Localidade,Renda_Média,Taxa_Analfabetismo,Área_Verde_m2_percapta,Área_Verde_km2,Estabelecimentos_Ativos_Indústria,Estabelecimentos_Ativos_Comércio,Estabelecimentos_Ativos_Serviço,População_Total,Área_hectare,Área_km2,Densidade_Demográfica_Hab_por_ha,Área_Verde_pct,Nível_Urbanização
Abranches,650.0,3.71,116.38,1.53498242,106.0,373.0,387.0,13189.0,431.63,4.32,30.56,35.53200046296296,Baixo
Ahú,1500.0,0.87,26.24,0.30192088,147.0,548.0,727.0,11506.0,185.49,1.85,62.03,16.320047567567567,Médio
Alto Boqueirão,650.0,3.36,61.88,3.32127282,353.0,1421.0,749.0,53671.0,1198.73,11.99,44.77,27.70035713094245,Baixo
Alto da Glória,2000.0,0.84,19.5,0.10819092999999999,89.0,339.0,684.0,5548.0,87.55,0.88,63.37,12.294423863636363,Médio
Alto da Rua XV,1500.0,0.99,21.86,0.18644785,195.0,1113.0,1101.0,8531.0,148.55,1.49,57.43,12.513278523489932,Médio
Atuba,700.0,3.5,33.59,0.53525829,145.0,428.0,265.0,15935.0,415.94,4.16,38.31,12.866785817307694,Médio
Augusta,520.0,4.85,680.84,4.49218417,30.0,57.0,32.0,6598.0,917.25,9.17,7.19,48.98783173391494,Baixo
Bacacheri,1200.0,1.27,53.47,1.26915692,343.0,1644.0,1475.0,23734.0,704.87,7.05,33.67,18.002225815602834,Médio
Bairro Alto,700.0,3.18,19.4,0.89427084,370.0,1439.0,1137.0,46106.0,720.11,7.2,64.03,12.420428333333334,Médio
Barreirinha,750.0,2.49,59.58,1.0735210800000001,196.0,572.0,408.0,18017.0,362.07,3.62,49.76,29.655278453038676,Baixo
Batel,1700.0,0.48,15.89,0.17287893,351.0,1378.0,2685.0,10878.0,173.77,1.74,62.6,9.93557068965517,Alto
Bigorrilho,2000.0,0.74,15.54,0.44039434000000005,328.0,1144.0,2053.0,28336.0,289.65,2.9,97.83,15.186011724137932,Médio
Boa Vista,1000.0,1.6,26.49,0.82270137,310.0,1315.0,1053.0,31052.0,522.37,5.22,59.44,15.760562643678162,Médio
Bom Retiro,1000.0,1.03,61.15,0.31527428999999996,147.0,550.0,667.0,5156.0,189.82,1.9,27.16,16.593383684210526,Médio
Boqueirão,700.0,3.0,22.82,1.66956778,1484.0,4259.0,2422.0,73178.0,1474.39,14.74,49.63,11.32678276797829,Alto
Butiatuvinha,600.0,4.76,326.1,4.1988521,101.0,319.0,203.0,12876.0,1043.9,10.44,12.33,40.218889846743295,Baixo
Cabral,2000.0,0.7,24.49,0.31983194,111.0,352.0,567.0,13060.0,202.66,2.03,64.44,15.755267980295567,Médio
Cachoeira,600.0,5.41,152.41,1.41952379,43.0,103.0,77.0,9314.0,322.16,3.22,28.91,44.08458975155279,Baixo
Cajuru,600.0,4.64,6.23,0.59948872,741.0,2551.0,1709.0,96200.0,1179.38,11.79,81.57,5.084721967769297,Alto
Campina do Siqueira,1100.0,1.57,22.69,0.16621857999999998,91.0,395.0,347.0,7326.0,169.75,1.7,43.16,9.777563529411763,Alto
Campo Comprido,800.0,3.68,107.66,3.10220781,188.0,441.0,480.0,28969.0,856.98,8.57,33.8,36.19845752625437,Baixo
Campo de Santana,580.0,4.63,255.27,6.80482172,145.0,306.0,135.0,27158.0,2157.94,21.58,12.59,31.533001482854495,Baixo
Capão Raso,760.0,2.41,9.38,0.33821245,486.0,1558.0,1018.0,20473.0,504.98,5.05,40.54,6.697276237623763,Alto
Capão da Imbuia,800.0,2.16,11.55,0.23656386,241.0,1097.0,753.0,36065.0,324.93,3.25,110.99,7.278888,Alto
Cascatinha,1000.0,1.8,462.89,1.00031334,19.0,101.0,55.0,2161.0,218.21,2.18,9.9,45.88593302752293,Baixo
Caximba,510.0,6.61,1159.22,2.92354854,24.0,18.0,10.0,2522.0,821.52,8.22,3.07,35.56628394160584,Baixo
Centro,1300.0,0.94,5.24,0.19546354000000002,1305.0,9072.0,13269.0,37283.0,328.3,3.28,113.56,5.959254268292684,Alto
Centro Cívico,2000.0,0.69,34.88,0.16684047,164.0,723.0,1551.0,4783.0,94.72,0.95,50.5,17.562154736842107,Médio
Cidade Industrial de Curitiba,600.0,4.34,49.47,8.549226449999999,1713.0,3712.0,2515.0,172669.0,4431.26,44.31,38.97,19.29412423832092,Médio
Cristo Rei,1800.0,0.52,13.38,0.18451253,118.0,553.0,680.0,13795.0,144.7,1.45,95.34,12.72500206896552,Médio
Fanny,800.0,1.66,25.46,0.21424460999999997,195.0,622.0,484.0,8415.0,201.83,2.02,41.69,10.606168811881187,Alto
Fazendinha,700.0,3.64,13.25,0.37211675,333.0,1061.0,565.0,28074.0,372.37,3.72,75.39,10.003138440860214,Alto
Ganchinho,510.0,6.39,450.25,5.03286768,49.0,67.0,39.0,11178.0,1135.93,11.36,9.84,44.30341267605634,Baixo
Guabirotuba,1000.0,1.8,29.15,0.33407265999999997,147.0,669.0,473.0,11461.0,265.44,2.65,43.18,12.606515471698113,Médio
Guaí­ra,700.0,3.21,16.98,0.25303375,166.0,590.0,527.0,14904.0,231.14,2.31,64.48,10.95384199134199,Alto
Hauer,800.0,1.94,33.33,0.44384196000000004,461.0,2074.0,1246.0,13315.0,399.0,3.99,33.37,11.123858646616542,Alto
Hugo Lange,1500.0,0.96,58.9,0.19978462,107.0,366.0,495.0,3392.0,118.42,1.18,28.64,16.9309,Médio
Jardim Botânico,1000.0,2.66,86.55,0.53418706,89.0,618.0,541.0,6172.0,275.69,2.76,22.39,19.35460362318841,Médio
Jardim Social,1500.0,0.56,60.41,0.34421045,60.0,157.0,309.0,5698.0,195.84,1.96,29.1,17.561757653061225,Médio
Jardim das Américas,1100.0,1.18,22.2,0.33991539000000004,171.0,898.0,836.0,15313.0,385.9,3.86,39.68,8.8060981865285,Alto
Juvevê,1800.0,1.48,12.9,0.14941722,160.0,779.0,1052.0,11582.0,123.21,1.23,94.0,12.147741463414635,Alto
Lamenha Pequena,600.0,7.04,1765.79,1.86466921,13.0,24.0,9.0,1056.0,351.25,3.51,3.01,53.124478917378916,Baixo
Lindóia,650.0,3.45,16.44,0.14108864999999998,75.0,239.0,145.0,8584.0,118.18,1.18,72.63,11.956665254237288,Alto
Mercês,1100.0,0.98,74.18,0.95741665,309.0,1076.0,1577.0,12907.0,359.34,3.59,35.92,26.66898746518106,Médio
Mossunguê,1200.0,1.58,113.49,1.09676404,171.0,538.0,515.0,9664.0,336.54,3.37,28.72,32.54492700296736,Baixo
Novo Mundo,800.0,2.93,10.97,0.48346519,478.0,2073.0,1351.0,44063.0,594.88,5.95,74.07,8.12546537815126,Alto
Orleans,700.0,3.03,207.33,1.6804058899999998,121.0,377.0,249.0,8105.0,512.24,5.12,15.82,32.8204275390625,Baixo
Parolin,600.0,5.66,16.38,0.18928667999999998,214.0,780.0,590.0,11554.0,225.83,2.26,51.16,8.375516814159292,Alto
Pilarzinho,700.0,2.93,75.1,2.1387696899999997,229.0,712.0,745.0,28480.0,710.45,7.1,40.09,30.12351676056338,Baixo
Pinheirinho,600.0,3.95,29.73,1.49841949,560.0,1826.0,1113.0,50401.0,1051.38,10.51,47.94,14.257083634633682,Médio
Portão,1000.0,1.33,16.74,0.71409409,536.0,2906.0,2224.0,42662.0,585.85,5.86,72.82,12.185905972696245,Alto
Prado Velho,510.0,9.71,57.77,0.35106114,158.0,610.0,511.0,6077.0,243.41,2.43,24.97,14.44696049382716,Médio
Rebouças,1200.0,1.04,17.37,0.25865338,459.0,2357.0,2530.0,14888.0,296.61,2.97,50.19,8.708868013468013,Alto
Riviera,510.0,6.27,4174.75,1.20650139,1.0,3.0,3.0,289.0,243.67,2.44,1.19,49.44677827868852,Baixo
Santa Cândida,680.0,3.37,117.73,3.86263581,259.0,733.0,537.0,32808.0,1019.18,10.19,32.19,37.90614141315015,Baixo
Santa Felicidade,800.0,2.46,112.66,3.5567545299999996,389.0,1435.0,1048.0,31572.0,1217.6,12.18,25.93,29.20159712643678,Baixo
Santa Quitéria,800.0,3.41,19.28,0.23277372,187.0,622.0,584.0,12075.0,210.42,2.1,57.39,11.084462857142857,Alto
Santo Inácio,800.0,1.73,169.01,1.09752729,99.0,194.0,191.0,6494.0,335.83,3.36,19.34,32.66450267857143,Baixo
Seminário,1400.0,1.08,49.82,0.34133217,175.0,591.0,712.0,6851.0,212.38,2.12,32.26,16.100574056603772,Médio
São Braz,700.0,2.95,24.74,0.5829279599999999,227.0,944.0,639.0,23559.0,506.03,5.06,46.56,11.520315415019763,Alto
São Francisco,1200.0,0.88,25.9,0.15874052,201.0,934.0,1552.0,6130.0,135.45,1.35,45.26,11.758557037037036,Alto
São João,700.0,3.58,540.53,1.75833981,24.0,59.0,54.0,3253.0,303.61,3.04,10.71,57.840125328947366,Baixo
São Lourenço,1020.0,1.22,102.81,0.64525203,79.0,322.0,360.0,6276.0,227.47,2.27,27.59,28.425199559471366,Baixo
São Miguel,510.0,7.6,510.45,2.43639452,0.0,1.0,3.0,4773.0,753.76,7.54,6.33,32.31292466843501,Baixo
Sí­tio Cercado,600.0,4.44,5.7,0.65896484,864.0,2937.0,1475.0,115525.0,1119.96,11.2,103.15,5.883614642857143,Alto
Taboão,700.0,4.1,240.31,0.81610048,35.0,67.0,60.0,3396.0,182.76,1.83,18.58,44.59565464480874,Baixo
Tarumã,1000.0,2.24,77.06,0.6220299,91.0,414.0,535.0,8072.0,416.98,4.17,19.36,14.91678417266187,Médio
Tatuquara,510.0,6.11,57.28,3.02311962,238.0,1288.0,383.0,52279.0,1123.48,11.23,46.53,26.920032235084594,Médio
Tingui,800.0,1.97,20.33,0.25044268,120.0,452.0,334.0,12319.0,215.13,2.15,57.26,11.648496744186046,Alto
